epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.70277,0.96756,2.3518,1.28617,0.58261,0.85,0.87795,0.63385,1.64939,1.02968,1.37373,0,0,0
2,2.08153,1.24993,3.26414,1.64434,0.58885,0.85,0.84839,0.63037,1.67012,1.02278,1.38719,1.17822e-06,1.17822e-06,1.17822e-06
3,2.4467,1.35107,3.63904,1.61319,0.5905,0.85,0.8539,0.63378,1.69036,1.01557,1.39153,2.33288e-06,2.33288e-06,2.33288e-06
4,2.82998,1.0296,2.75269,1.27694,0.57788,0.85,0.85443,0.63559,1.68575,1.01153,1.38217,3.46397e-06,3.46397e-06,3.46397e-06
5,3.32595,1.3357,2.98012,1.62443,0.61899,0.92662,0.90685,0.64044,1.69412,1.01824,1.38058,4.5715e-06,4.5715e-06,4.5715e-06
6,3.79801,0.94503,2.26861,1.21761,0.56114,0.85,0.85658,0.63605,1.66898,1.02207,1.36437,5.65548e-06,5.65548e-06,5.65548e-06
7,4.28749,1.40706,3.84675,1.75282,0.55531,0.85176,0.85944,0.6291,1.67757,1.02079,1.36809,6.71588e-06,6.71588e-06,6.71588e-06
8,4.82033,1.4333,3.96464,1.80656,0.56666,0.85452,0.8606,0.62924,1.70572,1.03971,1.38185,7.75273e-06,7.75273e-06,7.75273e-06
9,5.31874,1.36209,2.8564,1.47493,0.5594,0.86601,0.86,0.62908,1.70002,1.05227,1.37484,8.76602e-06,8.76602e-06,8.76602e-06
10,5.82954,1.30199,2.47972,1.6277,0.56126,0.86648,0.85905,0.62852,1.68954,1.0443,1.36932,9.75574e-06,9.75574e-06,9.75574e-06
11,6.31311,1.13809,1.7791,1.38437,0.58176,0.85915,0.85791,0.62359,1.69641,1.04825,1.37321,1.07219e-05,1.07219e-05,1.07219e-05
12,6.83452,1.33343,2.74949,1.53114,0.5705,0.86406,0.8557,0.63208,1.69726,1.05551,1.37155,1.16645e-05,1.16645e-05,1.16645e-05
13,7.30811,1.01816,2.54174,1.37062,0.59067,0.86667,0.89562,0.6413,1.70123,1.0732,1.37126,1.25835e-05,1.25835e-05,1.25835e-05
14,7.77271,1.21491,2.14492,1.52673,0.59076,0.86667,0.88719,0.64188,1.69674,1.07685,1.37042,1.3479e-05,1.3479e-05,1.3479e-05
15,8.23099,1.22697,2.8422,1.51262,0.58916,0.86667,0.88751,0.64247,1.6873,1.07489,1.36534,1.43509e-05,1.43509e-05,1.43509e-05
16,8.70242,1.03029,2.13643,1.38944,0.57029,0.86667,0.89596,0.64602,1.69468,1.07777,1.36826,1.51993e-05,1.51993e-05,1.51993e-05
17,9.15562,1.07072,2.7303,1.38688,0.59355,0.86667,0.888,0.64539,1.69311,1.08066,1.36457,1.60241e-05,1.60241e-05,1.60241e-05
18,9.58571,0.90009,2.40864,1.32011,0.59355,0.86667,0.888,0.64539,1.69311,1.08066,1.36457,1.68253e-05,1.68253e-05,1.68253e-05
19,10.0802,1.03416,1.81202,1.50956,0.59128,0.86667,0.8799,0.61748,1.70733,1.11052,1.36851,1.7603e-05,1.7603e-05,1.7603e-05
