epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.11226,1.54627,3.26751,1.71415,0.57224,0.85,0.87818,0.63365,1.63462,1.02903,1.37238,0,0,0
2,1.78296,1.33706,2.78964,1.59779,0.5573,0.85,0.85022,0.6322,1.65638,1.02382,1.37949,1.17822e-06,1.17822e-06,1.17822e-06
3,2.171,1.46649,3.62084,1.85464,0.54572,0.85,0.85135,0.63225,1.67117,1.02348,1.38391,2.33288e-06,2.33288e-06,2.33288e-06
4,2.54832,1.16867,2.80827,1.49856,0.52645,0.85,0.85579,0.63463,1.68951,1.01979,1.3863,3.46397e-06,3.46397e-06,3.46397e-06
5,2.96469,0.88773,2.32561,1.34391,0.53371,0.85,0.88493,0.63995,1.69502,1.03142,1.38195,4.5715e-06,4.5715e-06,4.5715e-06
6,3.5238,1.20545,2.69597,1.58854,0.52995,0.85493,0.85768,0.62783,1.65164,1.02723,1.35308,5.65548e-06,5.65548e-06,5.65548e-06
7,4.01143,1.01633,1.84234,1.25772,0.76962,0.65,0.85835,0.62803,1.65534,1.02838,1.35739,6.71588e-06,6.71588e-06,6.71588e-06
8,4.5704,1.20395,2.98809,1.72219,0.573,0.86667,0.81775,0.61334,1.64212,1.01866,1.3455,7.75273e-06,7.75273e-06,7.75273e-06
9,5.13735,1.24602,3.01695,1.65839,0.57712,0.86667,0.81815,0.61254,1.6316,1.02072,1.33969,8.76602e-06,8.76602e-06,8.76602e-06
10,5.63079,0.94539,2.68761,1.32767,0.54693,0.86667,0.8551,0.61171,1.62753,1.02069,1.33712,9.75574e-06,9.75574e-06,9.75574e-06
11,6.08999,1.38766,3.00397,1.70696,0.58749,0.86667,0.82297,0.61451,1.64171,1.02547,1.34131,1.07219e-05,1.07219e-05,1.07219e-05
12,6.58904,1.03017,2.5865,1.26948,0.58843,0.86667,0.85837,0.63687,1.63692,1.03137,1.34115,1.16645e-05,1.16645e-05,1.16645e-05
13,7.08423,1.32912,3.04679,1.64041,0.59275,0.86667,0.85864,0.63698,1.65239,1.05171,1.34807,1.25835e-05,1.25835e-05,1.25835e-05
14,7.56718,1.01663,1.91417,1.2854,0.60687,0.86667,0.89069,0.64331,1.65014,1.05983,1.34738,1.3479e-05,1.3479e-05,1.3479e-05
15,8.06409,1.15918,2.49017,1.48053,0.61085,0.86667,0.89024,0.64627,1.64079,1.06445,1.34552,1.43509e-05,1.43509e-05,1.43509e-05
16,8.54382,0.72713,2.35208,1.13741,0.57922,0.86667,0.90042,0.64724,1.6264,1.06348,1.33417,1.51993e-05,1.51993e-05,1.51993e-05
17,9.02346,0.83696,1.59839,1.09421,0.64682,0.78333,0.91542,0.64909,1.61829,1.06859,1.33177,1.60241e-05,1.60241e-05,1.60241e-05
18,9.61138,1.05085,1.8497,1.45766,0.64682,0.78333,0.91542,0.64909,1.61829,1.06859,1.33177,1.68253e-05,1.68253e-05,1.68253e-05
19,10.0767,0.99379,1.92804,1.28898,0.65894,0.78333,0.91554,0.64887,1.59961,1.08412,1.32736,1.7603e-05,1.7603e-05,1.7603e-05
20,10.5142,0.96047,1.66377,1.3468,0.65894,0.78333,0.91554,0.64887,1.59961,1.08412,1.32736,1.83571e-05,1.83571e-05,1.83571e-05
21,10.9587,0.83365,1.51247,1.25149,0.76888,0.65729,0.88324,0.64999,1.61994,1.10708,1.33634,1.90876e-05,1.90876e-05,1.90876e-05
22,11.4086,1.22822,2.21943,1.59092,0.76888,0.65729,0.88324,0.64999,1.61994,1.10708,1.33634,1.97946e-05,1.97946e-05,1.97946e-05
23,11.8741,1.1731,2.44918,1.61227,0.77512,0.65057,0.8689,0.6248,1.63776,1.14468,1.35135,2.0478e-05,2.0478e-05,2.0478e-05
24,12.3114,1.18645,2.51143,1.62225,0.77512,0.65057,0.8689,0.6248,1.63776,1.14468,1.35135,2.11379e-05,2.11379e-05,2.11379e-05
25,12.8065,0.96985,1.42294,1.37098,0.77572,0.65,0.85926,0.62425,1.63462,1.16164,1.35129,2.17741e-05,2.17741e-05,2.17741e-05
26,13.2438,1.07054,2.1282,1.40045,0.77572,0.65,0.85926,0.62425,1.63462,1.16164,1.35129,2.23869e-05,2.23869e-05,2.23869e-05
27,13.7235,0.70841,1.67558,1.20775,0.76838,0.65,0.85798,0.62402,1.63671,1.17576,1.35453,2.2976e-05,2.2976e-05,2.2976e-05
28,14.1722,0.84007,1.52039,1.18191,0.76838,0.65,0.85798,0.62402,1.63671,1.17576,1.35453,2.35417e-05,2.35417e-05,2.35417e-05
29,14.731,0.50003,2.17275,1.03748,0.74467,0.66074,0.85776,0.61928,1.66336,1.22898,1.37107,2.40837e-05,2.40837e-05,2.40837e-05
30,15.1461,0.80699,2.10123,1.22943,0.74467,0.66074,0.85776,0.61928,1.66336,1.22898,1.37107,2.46022e-05,2.46022e-05,2.46022e-05
31,15.6093,1.15154,1.48818,1.50849,0.74541,0.65989,0.85691,0.60505,1.66946,1.28478,1.37742,2.50971e-05,2.50971e-05,2.50971e-05
32,16.0573,1.06463,1.4559,1.31135,0.74541,0.65989,0.85691,0.60505,1.66946,1.28478,1.37742,2.55685e-05,2.55685e-05,2.55685e-05
33,16.5218,0.83022,1.91148,1.23848,0.75544,0.65031,0.85664,0.59765,1.69268,1.35894,1.38908,2.60163e-05,2.60163e-05,2.60163e-05
34,16.9743,0.74356,1.76514,1.18379,0.75544,0.65031,0.85664,0.59765,1.69268,1.35894,1.38908,2.64405e-05,2.64405e-05,2.64405e-05
35,17.4428,0.89044,2.49381,1.28738,0.77372,0.65,0.8542,0.60487,1.70524,1.39362,1.39298,2.68412e-05,2.68412e-05,2.68412e-05
36,17.9032,0.88096,1.24575,1.14232,0.77372,0.65,0.8542,0.60487,1.70524,1.39362,1.39298,2.72183e-05,2.72183e-05,2.72183e-05
37,18.3781,1.00553,1.35507,1.41649,0.78794,0.65,0.85671,0.5684,1.66692,1.39598,1.37569,2.75718e-05,2.75718e-05,2.75718e-05
38,18.8599,0.8062,1.19981,1.1561,0.78794,0.65,0.85671,0.5684,1.66692,1.39598,1.37569,2.79018e-05,2.79018e-05,2.79018e-05
39,19.4055,1.01187,1.27626,1.28431,0.82232,0.65,0.84863,0.58915,1.66478,1.45156,1.3715,2.82082e-05,2.82082e-05,2.82082e-05
40,19.8452,0.903,1.35459,1.29176,0.82232,0.65,0.84863,0.58915,1.66478,1.45156,1.3715,2.84911e-05,2.84911e-05,2.84911e-05
41,20.322,1.11928,1.70517,1.53804,0.82609,0.65,0.84916,0.55229,1.631,1.46282,1.36123,2.87504e-05,2.87504e-05,2.87504e-05
42,20.774,0.8375,1.13583,1.25114,0.82609,0.65,0.84916,0.55229,1.631,1.46282,1.36123,2.89861e-05,2.89861e-05,2.89861e-05
43,21.2401,0.84587,1.40146,1.30341,0.6905,0.68432,0.8489,0.56878,1.64385,1.52369,1.37459,2.91983e-05,2.91983e-05,2.91983e-05
44,21.6909,0.93166,1.04229,1.33935,0.6905,0.68432,0.8489,0.56878,1.64385,1.52369,1.37459,2.93869e-05,2.93869e-05,2.93869e-05
45,22.1696,0.7713,1.24498,1.30468,0.73364,0.51667,0.76637,0.48577,1.64405,1.57363,1.37088,2.9552e-05,2.9552e-05,2.9552e-05
46,22.5933,0.73833,1.11455,1.13105,0.73364,0.51667,0.76637,0.48577,1.64405,1.57363,1.37088,2.96935e-05,2.96935e-05,2.96935e-05
47,23.0429,0.63361,0.72703,0.9558,0.80022,0.48333,0.76655,0.49722,1.63565,1.61995,1.36421,2.98114e-05,2.98114e-05,2.98114e-05
